47,6,59,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,32,2,95,0,0
2,35,4,84,0,0
3,40,5,71,0,0
4,47,6,59,0,0
5,55,7,46,0,0
6,61,9,35,0,0
7,65,10,28,3,1
8,63,11,25,3,1
9,59,13,23,3,1
10,54,14,20,3,1
51,8,48,1,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,36,2,95,0,0
2,42,4,74,0,0
3,51,5,58,0,0
4,61,5,44,0,0
5,73,7,33,0,1
6,85,9,23,0,1
7,85,10,16,2,1
8,70,11,15,3,1
9,47,12,20,3,1
10,33,12,25,3,1
11,29,14,30,4,1
12,29,16,24,4,0
13,23,16,27,4,0
14,21,16,28,4,0
15,18,16,34,4,0
16,17,16,37,4,0
45,10,36,2,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,32,2,95,0,0
2,37,4,84,0,0
3,44,6,67,0,0
37,4,82,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,11,1,95,0,0
2,12,2,81,0,0
3,13,4,69,0,0
4,14,6,59,0,0
5,16,7,50,0,0
6,18,8,38,0,0
7,19,9,29,0,0
8,17,9,28,2,1
9,17,9,31,4,0
10,18,8,22,4,0
11,17,9,23,4,1
12,17,9,18,5,1
13,15,7,13,5,0
14,10,7,26,4,1
15,8,8,35,5,1
16,7,9,43,5,0
17,8,10,39,5,1
18,8,11,41,5,1
19,8,13,37,5,1
20,6,13,45,6,1
21,5,13,59,6,1
22,4,15,95,6,1
23,3,16,122,6,2
24,3,17,117,6,2
25,3,18,112,6,2
26,3,19,107,6,2
27,3,19,102,6,2
28,3,18,114,6,2
29,3,18,126,6,2
30,3,18,137,6,2
31,3,18,132,6,2
32,3,17,127,6,2
33,3,17,156,6,2
34,3,18,167,6,2
35,3,18,162,6,2
8,11,75,4,1
36,3,18,174,6,2
day,number of animals,number of grass,avg energy,length of life,avg children
1,11,2,95,0,0
2,13,4,81,0,0
3,16,6,63,0,0
4,19,6,46,0,0
5,22,6,37,0,0
6,26,7,29,0,1
7,29,7,19,0,1
8,26,7,18,3,1
9,25,8,16,2,1
10,16,10,22,4,1
11,11,11,29,5,0
12,10,12,28,5,0
13,9,13,27,5,1
14,10,13,25,5,1
15,10,14,22,5,1
16,7,13,34,5,1
17,7,13,36,5,1
18,6,14,38,5,0
15,9,36,2,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,10,1,95,0,0
2,10,2,90,0,0
3,11,4,85,0,0
4,12,6,72,0,0
5,13,7,61,0,0
6,14,9,55,0,0
7,16,10,46,0,0
8,17,11,38,0,0
9,14,11,42,2,0
10,14,11,41,3,0
11,13,11,37,4,0
12,14,10,32,4,0
13,12,10,34,4,0
14,12,11,37,5,0
15,13,12,37,5,0
16,14,12,34,5,0
17,16,13,30,5,1
18,18,11,19,5,1
19,16,12,22,5,1
20,13,11,21,5,1
21,7,12,44,7,1
22,6,12,46,7,1
23,6,13,49,7,1
24,7,14,44,7,1
25,7,14,39,7,1
26,8,14,36,7,1
27,8,14,26,7,1
28,7,14,32,8,1
29,4,13,54,7,1
30,5,13,62,7,1
31,5,13,57,7,2
32,6,12,41,7,2
33,6,11,37,7,2
10,10,45,4,0
34,4,10,64,7,3
day,number of animals,number of grass,avg energy,length of life,avg children
1,1,1,95,0,0
2,1,2,90,0,0
3,1,3,85,0,0
4,1,4,80,0,0
5,1,5,75,0,0
6,1,6,70,0,0
7,1,7,65,0,0
8,1,8,60,0,0
9,1,8,55,0,0
10,1,8,50,0,0
11,1,8,45,0,0
12,1,8,40,0,0
1,5,67,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,2,1,95,0,0
2,2,2,90,0,0
3,2,2,85,0,0
4,2,2,80,0,0
5,2,2,75,0,0
6,2,2,70,0,0
7,2,2,65,0,0
8,2,2,60,0,0
9,2,2,55,0,0
10,2,2,50,0,0
11,2,2,45,0,0
12,2,2,40,0,0
13,2,2,60,0,0
14,2,2,55,0,0
15,2,2,50,0,0
2,1,65,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,2,0,95,0,0
2,2,0,90,0,0
3,3,1,85,0,0
4,4,1,51,0,0
5,5,1,33,0,1
3,0,70,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,2,1,95,0,0
2,2,2,90,0,0
3,2,2,85,0,0
4,2,2,80,0,0
2,1,87,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,3,1,95,0,0
2,3,2,90,0,0
3,3,3,85,0,0
4,4,4,80,0,0
3,2,87,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,1,1,95,0,0
2,1,2,90,0,0
3,1,3,85,0,0
4,1,4,80,0,0
5,1,4,75,0,0
6,1,4,70,0,0
7,1,4,65,0,0
8,1,4,60,0,0
9,1,4,55,0,0
10,1,4,50,0,0
1,3,72,0,0
day,number of animals,number of grass,avg energy,length of life,avg children
1,10,2,95,0,0
2,10,3,90,0,0
3,11,5,90,0,0
4,12,7,76,0,0
5,13,9,65,0,0
6,14,11,55,0,0
7,15,11,46,0,0
8,17,12,45,0,0
9,19,11,34,0,0
10,21,12,33,0,0
11,19,12,33,4,0
12,21,10,26,6,0
13,22,10,24,6,1
14,21,10,23,6,1
15,19,11,24,5,1
16,18,12,22,5,1
17,20,13,14,5,1
18,18,10,10,5,1
19,17,8,18,5,1
20,15,6,23,6,1
21,13,8,35,6,1
22,14,10,30,6,1
23,13,11,23,7,1
24,10,10,31,6,1
25,9,11,41,6,2
26,8,11,41,6,1
27,9,13,42,6,1
28,10,14,33,6,1
14,9,40,3,0
29,9,14,28,6,2
30,6,15,46,7,1
31,7,15,41,7,1
32,7,15,30,7,1
33,7,15,25,7,1
34,6,15,25,7,0
35,5,15,26,7,1
36,5,15,31,7,1
37,4,14,59,7,1
38,5,15,79,7,1
39,6,15,58,7,1
40,7,15,44,7,1
41,8,15,32,7,1
42,11,14,23,7,1
43,14,11,16,7,1
44,15,12,18,7,1
45,13,12,15,7,2
46,7,13,33,7,2
47,6,15,42,7,2
48,6,15,37,7,2
49,7,16,40,7,2
50,7,16,35,7,2
day,number of animals,number of grass,avg energy,length of life,avg children
